ID	nbrefhom	nbalthom	nbhet	nbmissing
hg02461	896	145	311	0
hg02461	1031	172	148	1
hg02461	944	134	274	0
hg02461	1069	91	189	3
hg02461	965	173	208	6
hg02461	926	154	271	1
hg02461	1013	92	246	1
hg02461	938	127	285	2
hg02461	978	136	237	1
hg02461	971	104	277	0
hg02461	1073	56	222	1
hg02461	1033	74	243	2
hg02461	975	162	213	2
hg02461	1047	107	198	0
hg02461	1028	83	241	0
hg02461	1059	81	210	2
hg02461	940	156	256	0
hg02461	917	87	347	1
hg02461	1025	125	201	1
hg02461	977	74	300	1
hg02461	1010	66	275	1
hg02461	1066	60	221	5
hg02461	1046	149	153	4
hg02461	1132	89	130	1
hg02461	995	152	205	0
hg02461	1083	97	166	6
hg02461	944	97	304	7
hg02461	963	70	318	1
hg02461	1070	68	212	2
hg02461	950	115	287	0
hg02461	1026	113	213	0
hg02461	1046	75	227	4
hg02461	951	66	334	1
hg02461	900	180	265	7
hg02461	1063	83	205	1
hg02461	1028	105	218	1
hg02461	929	143	280	0
hg02461	1028	67	256	1
hg02461	944	135	273	0
hg02461	937	120	292	3
hg02461	976	135	239	2
hg02461	960	158	229	5
hg02461	981	148	220	3
hg02461	971	156	220	5
hg02461	1101	208	41	2
hg02461	929	156	267	0
hg02461	966	185	194	7
hg02461	965	98	288	1
hg02461	972	140	239	1
hg02461	895	103	352	2
hg02461	1115	86	150	1
hg02461	969	85	298	0
hg02461	955	162	227	8
hg02461	904	151	296	1
hg02461	947	73	331	1
hg02461	953	91	306	2
hg02461	1019	186	147	0
hg02461	982	144	226	0
hg02461	961	154	237	0
hg02461	1034	85	233	0
hg02461	986	162	194	10
hg02461	1020	91	240	1
hg02461	1131	139	79	3
hg02461	1026	95	231	0
hg02461	954	76	321	1
hg02461	999	49	301	3
hg02461	942	139	271	0
hg02461	1084	142	126	0
hg02461	980	62	309	1
hg02461	981	58	313	0
hg02461	1040	189	121	2
hg02461	888	206	258	0
hg02461	1050	58	243	1
hg02461	1015	128	208	1
hg02461	1022	112	217	1
hg02461	996	186	168	2
hg02461	969	62	321	0
hg02461	976	123	253	0
hg02461	1005	72	274	1
hg02461	1072	47	231	2
